"client_code","product","push_notification","_benefit","_cluster","_balance"
"1","Кредитная карта","Айгерим, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 143 818 ₸ в месяц — выгодно","155077.421","0","92643"
"2","Депозит мультивалютный","Данияр, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~19 056 ₸ в месяц. Открыть мультивалютный вклад?","229675.585","0","1577073"
"3","Кредитная карта","Сабина, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 128 787 ₸ в месяц — выгодно","130739.489","0","63116"
"4","Кредитная карта","Тимур, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 153 960 ₸ в месяц — выгодно","157798.862","0","83351"
"5","Депозит мультивалютный","Камилла, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~16 150 ₸ в месяц. Открыть мультивалютный вклад?","194797.72","0","1336536"
"6","Кредитная карта","Аян, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 155 540 ₸ в месяц — выгодно","171246.31900000002","0","131929"
"7","Депозит мультивалютный","Руслан, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~48 829 ₸ в месяц. Открыть мультивалютный вклад?","586944.565","0","4040997"
"8","Кредитная карта","Мадина, ваши топ‑категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 184 200 ₸ в месяц — выгодно","196005.537","0","1058403"
"9","Депозит мультивалютный","Арман, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~37 267 ₸ в месяц. Открыть мультивалютный вклад?","448206.1","0","3084180"
"10","Кредитная карта","Карина, ваши топ‑категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 171 224 ₸ в месяц — выгодно","188689.755","0","1277325"
"11","Депозит мультивалютный","Бауржан, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~39 036 ₸ в месяц. Открыть мультивалютный вклад?","469432.93999999994","0","3230572"
"12","Кредитная карта","Жанар, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 145 117 ₸ в месяц — выгодно","167456.907","0","849046"
"13","Кредитная карта","Алина, ваши топ‑категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 143 069 ₸ в месяц — выгодно","134005.15600000002","0","54074"
"14","Кредитная карта","Диас, ваши топ‑категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 161 190 ₸ в месяц — выгодно","141918.575","0","57385"
"15","Кредитная карта","Нурия, ваши топ‑категории — Кафе и рестораны, Продукты питания, Едим дома. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 147 477 ₸ в месяц — выгодно","157968.058","0","160778"
"16","Кредитная карта","Ерасыл, ваши топ‑категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 144 187 ₸ в месяц — выгодно","131110.52000000002","0","46630"
"17","Кредитная карта","Жанель, ваши топ‑категории — Кафе и рестораны, Продукты питания, Едим дома. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 155 873 ₸ в месяц — выгодно","157003.586","0","89126"
"18","Кредитная карта","Санжар, ваши топ‑категории — Продукты питания, Едим дома, Кафе и рестораны. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 158 089 ₸ в месяц — выгодно","155943.655","0","98089"
"19","Обмен валют","Азамат, планируете расчёты в валюте? В приложении удобный обмен по целевому курсу и хранение в USD/EUR без лишних комиссий. Всё прозрачно и выгодно. Настроить валютный счёт и авто‑обмен?","4304.678134999999","0","80150"
"20","Обмен валют","Анель, планируете расчёты в валюте? В приложении удобный обмен по целевому курсу и хранение в USD/EUR без лишних комиссий. Всё прозрачно и выгодно. Настроить валютный счёт и авто‑обмен?","4235.38538","0","141515"
